Objectnaam,Inventarisnummer,Afmetingen,Beschrijving,Datum Opname,Datum Afdruk,FU,FU 02,Materiaal,Titel,VP 1 1,VP 02 1 1,VV 1,VV 02 1,Rechtenstatus,VN 1
Visitekaart,P_1973_0330_0008,"6,1x10,3","Straatzicht in stad, zicht op twee oude torens",1851-1911,1851-1911,fotograaf (opname),fotograaf (afdruk),karton,Belfort en Sint-Baafskathedraal in Gent,Gent,Onbekend ,Anoniem ,Anoniem ,https://creativecommons.org/publicdomain/mark/1.0,Walgraeve ## Deurne
Visitekaart,P_1971_0294_0037,"10,7x6,8",Zicht vanuit de Anse du Pharo op de haven van Marseille (FR) en de grote kathedraal in opbouw.,1852-1896,,fotograaf (opname),fotograaf (afdruk),karton,Marseille - Vue Génerale du Port Neuf,Marseille,Onbekend ,Anoniem ,Anoniem ,https://creativecommons.org/publicdomain/mark/1.0,"Schalckens, H. "
Visitekaart,P_1971_0299_0025,"10,5x6,1","Architectuur -  zicht op een standbeeld meet op de sokkel een verwijzing naar Napoleon III, staand voor een poort met opschrift ""Corps Législatif"" en een zuilengallerij, het huidige ""Assemblée Nationale"".",1852-1870,,fotograaf (opname),fotograaf (afdruk),karton,"""Corps Legislatif"" (wetgevende vergadering)",Parijs,Onbekend ,Anoniem ,Anoniem ,https://creativecommons.org/publicdomain/mark/1.0,"Schalckens, H. "
Visitekaart,P_1971_0299_0026,"6,2x10,4",Architectuur -  zicht op de gevel met zuilenrij en timpaan van het Palais Bourbon in Parijs.,1852-1870,,fotograaf (opname),fotograaf (afdruk),karton,"""Corps Legislatif"" (wetgevende vergadering)",Parijs,Onbekend ,Anoniem ,Anoniem ,https://creativecommons.org/publicdomain/mark/1.0,"Schalckens, H. "
Visitekaart,P_1965_0337_0001,"6,2x10,3","Studioportret, ten voeten uit, in driekwart profiel naar links van een oude man in halflange jas, overhemd met opstaande stijve boord en witte strik zittend op een stoel met armleuningen met de linkerarm steunend op de leuning, in de rechterhand een bril.",1855-1863,1855-1863,fotograaf (opname),fotograaf (afdruk),karton,"Portret van een man, gezeten",Antwerpen,Antwerpen,Delahaye & Sluyts ,Delahaye & Sluyts ,https://creativecommons.org/publicdomain/mark/1.0,Anoniem 
Visitekaart,P_1965_0337_0002,"6,1x10,4","Frontaal studioportret van een staande jongeman in halflange jas en gestippelde vest met de linkerhand in de broekzak, de rechterhand steunend op de rugleuning van een stoel, ten voeten uit.  Op de achtergrond een gordijn gedrapeerd over de lambrisering.",1855-1863,1855-1863,fotograaf (opname),fotograaf (afdruk),karton,"Portret van een jongeman, staand",Antwerpen,Antwerpen,Delahaye & Sluyts ,Delahaye & Sluyts ,https://creativecommons.org/publicdomain/mark/1.0,Anoniem 
Visitekaart,P_1965_0341_0001,"6,2x10,5","Frontaal studioportret, ten voeten uit, van een man in militair uniform met de rechterarm leunend op een kast waarop een sjako met pluim ligt, een sigaar in de rechterhand.",1855-1873,1855-1873,fotograaf (opname),fotograaf (afdruk),karton,Portret van een man in uniform,Tournai,Tournai,"Duchatel, Louis ","Duchatel, Louis ",https://creativecommons.org/publicdomain/mark/1.0,Anoniem 
Visitekaart,P_1965_0341_0002,"6,3x10,2","Gevignetteerd, halflijfs studioportret in driekwart profiel naar links van een kapitein met snor, zittend met de rechterarm leunend.",1855-1866,1855-1866,fotograaf (opname),fotograaf (afdruk),karton,Gevignetteerd portret van een kapitein,Tournai,Tournai,"Duchatel, Louis ","Duchatel, Louis ",https://creativecommons.org/publicdomain/mark/1.0,Anoniem 
Visitekaart,P_1965_0390_0006,"6x9,7","Studioportret in driekwart profiel naar rechts, ten voeten uit, van jongedame in een hoepeljurk, staand achter een voetenbank en met de linkerhand steunend op een boek dat op een tafel ligt.",1855-1864,1855-1864,fotograaf (opname),fotograaf (afdruk),karton,Marie Pauwels,Antwerpen,Antwerpen,Mayer & Pierson ,Mayer & Pierson ,https://creativecommons.org/publicdomain/mark/1.0,Anoniem 
Visitekaart,P_1971_0369,"6x9,8","Gevignetteerd, frontaal studioportret van een oude man met bakkebaarden en snor met eretekens op de borst, gekleed in overjas, jas, vest en hemd met lichte das, buste.",1855-1873,1855-1873,fotograaf (opname),fotograaf (afdruk),karton,"Gevignetteerd portret van een oude man, eretekens op de borst",Tournai,Tournai,"Duchatel, Louis ","Duchatel, Louis ",https://creativecommons.org/publicdomain/mark/1.0,"Schalckens, H. "
Visitekaart,P_1965_0238,"6,2x9,9","Studioportret, ten voeten uit, in driekwart profiel naar rechts  van een staande oude dame in een hoepeljurk en pelerine en een kapmuts met linten op het hoofd, met haar linkerhand leunend op de rugleuning van een stoel.",1856-1862,1856-1862,fotograaf (opname),fotograaf (afdruk),karton,Portret van een oude dame,Brussel,Brussel,"Plumier, Alphonse ","Plumier, Alphonse ",https://creativecommons.org/publicdomain/mark/1.0,Anoniem 
Visitekaart,P_1971_0055,"6,3x10,5","Studioportret, ten voeten uit, in driekwart profiel naar links van een man met een gestippelde jas, een lichte broek met zijstreep en gestreepte sokken zittend op een stoel met de rechterhand in de vest.",1856-1878,1856-1878,fotograaf (opname),fotograaf (afdruk),karton,"Portret van een man, gezeten",Gent,Gent,"Roose, Charles ","Roose, Charles ",https://creativecommons.org/publicdomain/mark/1.0,Jacobs
Visitekaart,P_1971_0192,"6,3x10,5","Frontaal studioportret van een man met snor in halflange jas, vest en licht overhemd met strik staand met de rechterhand in de zak van de vest en de rechterelleboog steunend op een pedestal, kniestuk.",1856-1878,1856-1878,fotograaf (opname),fotograaf (afdruk),karton,"Portret van een man, staand",Gent,Gent,"Roose, Charles ","Roose, Charles ",https://creativecommons.org/publicdomain/mark/1.0,Croex ## Mortsel
Visitekaart,P_1971_0088_0001,"6,2x9,9","Frontaal studioportret, ten voeten uit, van een vrouw in een gestreepte hoepeljurk staand naast een stoel waarop ze met de linkerarm steunt.",1856-10-31-1862,1856-10-31-1862,fotograaf (opname),fotograaf (afdruk),karton,"Portret van een vrouw, staand",Brussel,Brussel,"Plumier, Alphonse ","Plumier, Alphonse ",https://creativecommons.org/publicdomain/mark/1.0,Jacobs
Visitekaart,P_1971_0088_0002,"6x9,7","Frontaal studioportret, ten voeten uit, van een vrouw in gestreepte hoepeljurk staand naast een gebeeldhouwde tafel waarop ze met de linkerhand steunt.",1856-10-31-1862,1856-10-31-1862,fotograaf (opname),fotograaf (afdruk),karton,"Portret van een vrouw, staand",Brussel,Brussel,"Plumier, Alphonse ","Plumier, Alphonse ",https://creativecommons.org/publicdomain/mark/1.0,Jacobs
Visitekaart,P_1971_0088_0003,"6,2x9,8","Studioportret, ten voeten uit, in driekwart profiel naar rechts van een vrouw in een gestreepte hoepeljurk staand naast een stoel met kwasten.",1856-10-31-1862,1856-10-31-1862,fotograaf (opname),fotograaf (afdruk),karton,"Portret van een vrouw, staand",Brussel,Brussel,"Plumier, Alphonse ","Plumier, Alphonse ",https://creativecommons.org/publicdomain/mark/1.0,Jacobs
Visitekaart,P_1965_0211,"6,4x10,2","Frontaal studioportret van een vrouw met een hoepelrok en pelerine, een kapmuts met linten op het hoofd en de handen over elkaar, ten voeten uit.",1857-1905,1857-1905,fotograaf (opname),fotograaf (afdruk),karton,Portret van een vrouw met een hoepelrok,Antwerpen,Antwerpen,"Ommeganck, Clément ","Ommeganck, Clément ",https://creativecommons.org/publicdomain/mark/1.0,Anoniem 
